# periods	rho	erho	phs	ephs
0.020	0.712	0.0434	20.50	4.50
0.050	0.813	0.1406	22.00	19.98
0.079	0.964	0.1338	19.28	16.08
0.126	1.148	0.1609	20.14	11.03
0.199	1.030	0.3046	35.65	23.57
0.316	1.238	0.4880	34.44	20.66
0.501	1.503	0.3244	39.71	16.60
0.794	1.520	0.4772	41.90	23.40
1.258	1.675	0.4306	47.28	16.60
1.995	1.944	0.4412	42.78	16.77
3.162	1.844	0.4081	48.50	18.41
5.011	1.737	0.5236	56.87	18.05
7.943	1.614	0.1995	58.80	17.63
12.580	1.592	0.4780	58.88	18.10
19.950	1.336	0.2228	61.44	18.31
31.620	1.358	0.4471	61.90	16.58
50.110	1.345	0.3524	51.48	25.52
79.430	0.935	0.1041	65.50	10.51
125.800	0.821	0.0961	58.20	23.53
199.500	0.535	0.4000	54.00	20.00
794.299	0.312	0.4000	86.00	30.00
1258.000	-0.107	0.5561	41.00	32.00
1995.000	0.390	0.8612	58.66	21.63
